Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,1992,1992,kg CO2eq/kg product,0.076300,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,1993,1993,kg CO2eq/kg product,0.083000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,1994,1994,kg CO2eq/kg product,0.252800,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,1995,1995,kg CO2eq/kg product,0.183000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,1996,1996,kg CO2eq/kg product,0.259700,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,1997,1997,kg CO2eq/kg product,0.225100,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,1998,1998,kg CO2eq/kg product,0.196100,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,1999,1999,kg CO2eq/kg product,0.199500,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2000,2000,kg CO2eq/kg product,0.187200,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2001,2001,kg CO2eq/kg product,0.163500,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2002,2002,kg CO2eq/kg product,0.124600,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2003,2003,kg CO2eq/kg product,0.159000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2004,2004,kg CO2eq/kg product,0.140800,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2005,2005,kg CO2eq/kg product,0.161300,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2006,2006,kg CO2eq/kg product,0.162000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2007,2007,kg CO2eq/kg product,0.205800,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2008,2008,kg CO2eq/kg product,0.152400,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2009,2009,kg CO2eq/kg product,0.162600,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2010,2010,kg CO2eq/kg product,0.188700,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2011,2011,kg CO2eq/kg product,0.177800,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2012,2012,kg CO2eq/kg product,0.194300,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2013,2013,kg CO2eq/kg product,0.184100,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2014,2014,kg CO2eq/kg product,0.175300,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2015,2015,kg CO2eq/kg product,0.205800,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2016,2016,kg CO2eq/kg product,0.183000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2017,2017,kg CO2eq/kg product,0.226200,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2018,2018,kg CO2eq/kg product,0.164800,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2019,2019,kg CO2eq/kg product,0.171200,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,71761,Emissions intensity,2020,2020,kg CO2eq/kg product,0.199900,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),1992,1992,kilotonnes,44.351300,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),1993,1993,kilotonnes,38.981000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),1994,1994,kilotonnes,161.523900,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),1995,1995,kilotonnes,131.506000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),1996,1996,kilotonnes,135.931800,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),1997,1997,kilotonnes,131.695800,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),1998,1998,kilotonnes,124.980700,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),1999,1999,kilotonnes,123.749700,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2000,2000,kilotonnes,102.147000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2001,2001,kilotonnes,76.288500,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2002,2002,kilotonnes,68.121600,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2003,2003,kilotonnes,72.920800,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2004,2004,kilotonnes,93.923000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2005,2005,kilotonnes,101.926000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2006,2006,kilotonnes,95.266400,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2007,2007,kilotonnes,93.294200,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2008,2008,kilotonnes,90.948400,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2009,2009,kilotonnes,95.797200,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2010,2010,kilotonnes,97.331200,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2011,2011,kilotonnes,93.877700,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2012,2012,kilotonnes,84.616400,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2013,2013,kilotonnes,98.300000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2014,2014,kilotonnes,104.980300,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2015,2015,kilotonnes,93.319900,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2016,2016,kilotonnes,112.763100,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2017,2017,kilotonnes,97.424500,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2018,2018,kilotonnes,95.381500,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2019,2019,kilotonnes,92.786400,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,723113,Emissions (CO2eq) (AR5),2020,2020,kilotonnes,111.797600,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,1992,1992,tonnes,580965.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,1993,1993,tonnes,469493.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,1994,1994,tonnes,639003.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,1995,1995,tonnes,718472.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,1996,1996,tonnes,523358.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,1997,1997,tonnes,585013.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,1998,1998,tonnes,637175.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,1999,1999,tonnes,620409.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2000,2000,tonnes,545572.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2001,2001,tonnes,466600.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2002,2002,tonnes,546731.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2003,2003,tonnes,458647.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2004,2004,tonnes,667257.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2005,2005,tonnes,632057.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2006,2006,tonnes,588222.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2007,2007,tonnes,453297.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2008,2008,tonnes,596904.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2009,2009,tonnes,589186.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2010,2010,tonnes,515867.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2011,2011,tonnes,527917.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2012,2012,tonnes,435427.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2013,2013,tonnes,533982.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2014,2014,tonnes,598734.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2015,2015,tonnes,453352.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2016,2016,tonnes,616186.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2017,2017,tonnes,430698.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2018,2018,tonnes,578641.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2019,2019,tonnes,541840.000000,E
154,'807,North Macedonia,1718,'F1718,Cereals excluding rice,5510,Production,2020,2020,tonnes,559318.000000,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,1992,1992,kg CO2eq/kg product,1.623400,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,1993,1993,kg CO2eq/kg product,4.395200,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,1994,1994,kg CO2eq/kg product,4.603000,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,1995,1995,kg CO2eq/kg product,4.397300,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,1996,1996,kg CO2eq/kg product,2.508900,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,1997,1997,kg CO2eq/kg product,2.567300,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,1998,1998,kg CO2eq/kg product,2.412000,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,1999,1999,kg CO2eq/kg product,2.991300,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2000,2000,kg CO2eq/kg product,2.460200,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2001,2001,kg CO2eq/kg product,2.700400,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2002,2002,kg CO2eq/kg product,2.452200,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2003,2003,kg CO2eq/kg product,2.578900,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2004,2004,kg CO2eq/kg product,2.319100,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2005,2005,kg CO2eq/kg product,2.588700,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2006,2006,kg CO2eq/kg product,2.362700,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2007,2007,kg CO2eq/kg product,2.224800,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2008,2008,kg CO2eq/kg product,2.016800,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2009,2009,kg CO2eq/kg product,1.921900,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2010,2010,kg CO2eq/kg product,1.864400,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2011,2011,kg CO2eq/kg product,1.855900,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2012,2012,kg CO2eq/kg product,2.058900,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2013,2013,kg CO2eq/kg product,1.869300,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2014,2014,kg CO2eq/kg product,1.874800,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2015,2015,kg CO2eq/kg product,1.799100,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2016,2016,kg CO2eq/kg product,2.314800,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2017,2017,kg CO2eq/kg product,2.453000,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2018,2018,kg CO2eq/kg product,1.994500,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2019,2019,kg CO2eq/kg product,1.940600,E
154,'807,North Macedonia,27,'0113,Rice,71761,Emissions intensity,2020,2020,kg CO2eq/kg product,2.201100,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),1992,1992,kilotonnes,69.315400,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),1993,1993,kilotonnes,41.460300,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),1994,1994,kilotonnes,40.106100,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),1995,1995,kilotonnes,28.349100,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),1996,1996,kilotonnes,55.884200,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),1997,1997,kilotonnes,63.154400,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),1998,1998,kilotonnes,54.662700,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),1999,1999,kilotonnes,52.137600,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2000,2000,kilotonnes,45.348400,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2001,2001,kilotonnes,21.332800,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2002,2002,kilotonnes,21.726100,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2003,2003,kilotonnes,33.634200,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2004,2004,kilotonnes,34.034700,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2005,2005,kilotonnes,32.539300,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2006,2006,kilotonnes,32.957000,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2007,2007,kilotonnes,34.162000,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2008,2008,kilotonnes,32.550700,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2009,2009,kilotonnes,38.188000,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2010,2010,kilotonnes,47.914000,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2011,2011,kilotonnes,50.043400,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2012,2012,kilotonnes,50.157500,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2013,2013,kilotonnes,52.193400,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2014,2014,kilotonnes,57.180000,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2015,2015,kilotonnes,54.922300,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2016,2016,kilotonnes,57.387600,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2017,2017,kilotonnes,41.896500,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2018,2018,kilotonnes,39.356000,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2019,2019,kilotonnes,41.293100,E
154,'807,North Macedonia,27,'0113,Rice,723113,Emissions (CO2eq) (AR5),2020,2020,kilotonnes,42.961300,E
154,'807,North Macedonia,27,'0113,Rice,5510,Production,1992,1992,tonnes,42698.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,1993,1993,tonnes,9433.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,1994,1994,tonnes,8713.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,1995,1995,tonnes,6447.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,1996,1996,tonnes,22274.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,1997,1997,tonnes,24600.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,1998,1998,tonnes,22663.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,1999,1999,tonnes,17430.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2000,2000,tonnes,18433.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2001,2001,tonnes,7900.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2002,2002,tonnes,8860.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2003,2003,tonnes,13042.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2004,2004,tonnes,14676.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2005,2005,tonnes,12570.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2006,2006,tonnes,13949.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2007,2007,tonnes,15355.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2008,2008,tonnes,16140.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2009,2009,tonnes,19870.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2010,2010,tonnes,25700.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2011,2011,tonnes,26964.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2012,2012,tonnes,24361.000000,A
154,'807,North Macedonia,27,'0113,Rice,5510,Production,2013,2013,tonnes,27921.000000,A
