Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5006,Area from CGLS,2015,2015,1000 ha,47.577300,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5006,Area from CGLS,2016,2016,1000 ha,47.609300,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5006,Area from CGLS,2017,2017,1000 ha,47.618300,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5006,Area from CGLS,2018,2018,1000 ha,47.647400,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5006,Area from CGLS,2019,2019,1000 ha,47.681600,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2001,2001,1000 ha,34.560000,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2002,2002,1000 ha,34.560000,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2003,2003,1000 ha,34.560000,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2004,2004,1000 ha,34.517100,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2005,2005,1000 ha,34.517100,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2006,2006,1000 ha,34.560000,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2007,2007,1000 ha,34.581500,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2008,2008,1000 ha,34.603000,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2009,2009,1000 ha,34.645900,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2010,2010,1000 ha,34.667400,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2011,2011,1000 ha,34.645900,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2012,2012,1000 ha,34.688800,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2013,2013,1000 ha,34.753200,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2014,2014,1000 ha,34.839100,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2015,2015,1000 ha,34.860600,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2016,2016,1000 ha,34.925000,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2017,2017,1000 ha,35.010800,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2018,2018,1000 ha,35.010800,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2019,2019,1000 ha,35.032300,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5007,Area from MODIS,2020,2020,1000 ha,35.096700,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,1992,1992,1000 ha,13.741500,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,1993,1993,1000 ha,14.107700,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,1994,1994,1000 ha,14.392600,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,1995,1995,1000 ha,14.694800,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,1996,1996,1000 ha,15.061000,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,1997,1997,1000 ha,15.444700,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,1998,1998,1000 ha,15.962000,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,1999,1999,1000 ha,16.537500,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2000,2000,1000 ha,17.002500,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2001,2001,1000 ha,17.153600,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2002,2002,1000 ha,17.258300,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2003,2003,1000 ha,17.345500,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2004,2004,1000 ha,17.415200,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2005,2005,1000 ha,17.711700,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2006,2006,1000 ha,17.909300,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2007,2007,1000 ha,18.333600,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2008,2008,1000 ha,18.717300,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2009,2009,1000 ha,19.118400,FC
154,North Macedonia,6970,Artificial surfaces (including urban and associated areas),5008,Area from CCI_LC,2010,2010,1000 ha,19.519500,FC
