Area Code,Area Code (M49),Area,Item Code,Item Code (SDG),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2001,2001,millions,0.2,,"Global | FAO, Statistics Division | Estimated data | 2000-2002"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2002,2002,millions,0.2,,"Global | FAO, Statistics Division | Estimated data | 2001-2003"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2003,2003,millions,0.1,,"Global | FAO, Statistics Division | Estimated data | 2002-2004"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2004,2004,millions,0.1,,"Global | FAO, Statistics Division | Estimated data | 2003-2005"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2005,2005,millions,0.1,,"Global | FAO, Statistics Division | Estimated data | 2004-2006"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2006,2006,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2005-2007"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2007,2007,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2006-2008"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2008,2008,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2007-2009"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2009,2009,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2008-2010"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2010,2010,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2009-2011"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2011,2011,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2010-2012"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2012,2012,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2011-2013"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2013,2013,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2012-2014"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2014,2014,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2013-2015"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2015,2015,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2014-2016"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2016,2016,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2015-2017"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2017,2017,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2016-2018"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2018,2018,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2017-2019"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2019,2019,millions,<0.1,,"Global | FAO, Statistics Division | Estimated data | 2018-2020"
154,'807,North Macedonia,24001,'SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),6132,Value,2020,2020,millions,<0.1,,"Global | FAO, Statistics Division | Estimates are based on projected values | Estimated data | 2019-2021"
