Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Source Code,Source,Unit,Value,Flag,Note
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),1992,1992,3050,FAO TIER 1,kg of nutrients,1654458.323600,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),1993,1993,3050,FAO TIER 1,kg of nutrients,1406401.527000,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),1994,1994,3050,FAO TIER 1,kg of nutrients,1912066.731900,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),1995,1995,3050,FAO TIER 1,kg of nutrients,1917774.326100,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),1996,1996,3050,FAO TIER 1,kg of nutrients,1305246.342300,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),1997,1997,3050,FAO TIER 1,kg of nutrients,1551402.486400,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),1998,1998,3050,FAO TIER 1,kg of nutrients,1798329.646100,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),1999,1999,3050,FAO TIER 1,kg of nutrients,1618145.353400,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2000,2000,3050,FAO TIER 1,kg of nutrients,1440961.085600,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2001,2001,3050,FAO TIER 1,kg of nutrients,1238945.695700,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2002,2002,3050,FAO TIER 1,kg of nutrients,1627447.906400,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2003,2003,3050,FAO TIER 1,kg of nutrients,1137897.653100,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2004,2004,3050,FAO TIER 1,kg of nutrients,1836288.843500,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2005,2005,3050,FAO TIER 1,kg of nutrients,1727896.723800,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2006,2006,3050,FAO TIER 1,kg of nutrients,1694935.219700,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2007,2007,3050,FAO TIER 1,kg of nutrients,1392786.894300,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2008,2008,3050,FAO TIER 1,kg of nutrients,1986217.594100,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2009,2009,3050,FAO TIER 1,kg of nutrients,1819087.959800,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2010,2010,3050,FAO TIER 1,kg of nutrients,1574432.724400,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2011,2011,3050,FAO TIER 1,kg of nutrients,1598987.894400,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2012,2012,3050,FAO TIER 1,kg of nutrients,1183645.037700,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2013,2013,3050,FAO TIER 1,kg of nutrients,1561780.489200,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2014,2014,3050,FAO TIER 1,kg of nutrients,1849152.667900,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2015,2015,3050,FAO TIER 1,kg of nutrients,1304031.140500,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2016,2016,3050,FAO TIER 1,kg of nutrients,1762669.858600,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2017,2017,3050,FAO TIER 1,kg of nutrients,1233563.825600,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2018,2018,3050,FAO TIER 1,kg of nutrients,1611251.868400,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2019,2019,3050,FAO TIER 1,kg of nutrients,1709452.958000,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2020,2020,3050,FAO TIER 1,kg of nutrients,1813450.347400,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2030,2030,3050,FAO TIER 1,kg of nutrients,1804986.379700,E,
154,'807,North Macedonia,44,'0115,Barley,72392,Residues (Crop residues),2050,2050,3050,FAO TIER 1,kg of nutrients,1848666.992800,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),1992,1992,3050,FAO TIER 1,kilotonnes,0.026000,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),1993,1993,3050,FAO TIER 1,kilotonnes,0.022100,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),1994,1994,3050,FAO TIER 1,kilotonnes,0.030000,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),1995,1995,3050,FAO TIER 1,kilotonnes,0.030100,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),1996,1996,3050,FAO TIER 1,kilotonnes,0.020500,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),1997,1997,3050,FAO TIER 1,kilotonnes,0.024400,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),1998,1998,3050,FAO TIER 1,kilotonnes,0.028300,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),1999,1999,3050,FAO TIER 1,kilotonnes,0.025400,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2000,2000,3050,FAO TIER 1,kilotonnes,0.022600,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2001,2001,3050,FAO TIER 1,kilotonnes,0.019500,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2002,2002,3050,FAO TIER 1,kilotonnes,0.025600,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2003,2003,3050,FAO TIER 1,kilotonnes,0.017900,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2004,2004,3050,FAO TIER 1,kilotonnes,0.028900,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2005,2005,3050,FAO TIER 1,kilotonnes,0.027200,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2006,2006,3050,FAO TIER 1,kilotonnes,0.026600,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2007,2007,3050,FAO TIER 1,kilotonnes,0.021900,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2008,2008,3050,FAO TIER 1,kilotonnes,0.031200,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2009,2009,3050,FAO TIER 1,kilotonnes,0.028600,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2010,2010,3050,FAO TIER 1,kilotonnes,0.024700,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2011,2011,3050,FAO TIER 1,kilotonnes,0.025100,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2012,2012,3050,FAO TIER 1,kilotonnes,0.018600,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2013,2013,3050,FAO TIER 1,kilotonnes,0.024500,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2014,2014,3050,FAO TIER 1,kilotonnes,0.029100,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2015,2015,3050,FAO TIER 1,kilotonnes,0.020500,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2016,2016,3050,FAO TIER 1,kilotonnes,0.027700,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2017,2017,3050,FAO TIER 1,kilotonnes,0.019400,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2018,2018,3050,FAO TIER 1,kilotonnes,0.025300,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2019,2019,3050,FAO TIER 1,kilotonnes,0.026900,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2020,2020,3050,FAO TIER 1,kilotonnes,0.028500,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2030,2030,3050,FAO TIER 1,kilotonnes,0.028400,E,
154,'807,North Macedonia,44,'0115,Barley,72342,Direct emissions (N2O) (Crop residues),2050,2050,3050,FAO TIER 1,kilotonnes,0.029100,E,
154,'807,North Macedonia,44,'0115,Barley,72362,Indirect emissions (N2O) (Crop residues),1992,1992,3050,FAO TIER 1,kilotonnes,0.005800,E,
154,'807,North Macedonia,44,'0115,Barley,72362,Indirect emissions (N2O) (Crop residues),1993,1993,3050,FAO TIER 1,kilotonnes,0.005000,E,
