Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,1992,1992,Terajoule,1118.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,1993,1993,Terajoule,774.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,1994,1994,Terajoule,774.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,1995,1995,Terajoule,4773.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,1996,1996,Terajoule,2795.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,1997,1997,Terajoule,2150.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,1998,1998,Terajoule,731.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,1999,1999,Terajoule,1032.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2000,2000,Terajoule,516.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2001,2001,Terajoule,344.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2002,2002,Terajoule,258.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2003,2003,Terajoule,258.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2004,2004,Terajoule,344.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2005,2005,Terajoule,86.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2006,2006,Terajoule,43.000000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2007,2007,Terajoule,28.982000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2008,2008,Terajoule,6.020000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2009,2009,Terajoule,26.230000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2010,2010,Terajoule,23.220000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2011,2011,Terajoule,181.589000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2012,2012,Terajoule,185.416000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2013,2013,Terajoule,269.051000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2014,2014,Terajoule,277.479000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2015,2015,Terajoule,291.626000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2016,2016,Terajoule,306.246000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2017,2017,Terajoule,305.730000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2018,2018,Terajoule,305.257000,X
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2019,2019,Terajoule,310.812600,F
154,807,North Macedonia,6801,Gas-Diesel oil,72184,Use in agriculture,2020,2020,Terajoule,310.812600,Fp
154,807,North Macedonia,6801,Gas-Diesel oil,7225,Emissions (CH4),1992,1992,kilotonnes,0.004600,X
154,807,North Macedonia,6801,Gas-Diesel oil,7225,Emissions (CH4),1993,1993,kilotonnes,0.003200,X
154,807,North Macedonia,6801,Gas-Diesel oil,7225,Emissions (CH4),1994,1994,kilotonnes,0.003200,X
