Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Source Code,Source,Unit,Value,Flag,Note
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,1994,1994,3050,FAO TIER 1,kg of nutrients,36162000.000000,A,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,1995,1995,3050,FAO TIER 1,kg of nutrients,25219000.000000,A,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,1996,1996,3050,FAO TIER 1,kg of nutrients,30400000.000000,X,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,1997,1997,3050,FAO TIER 1,kg of nutrients,28100000.000000,X,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,1998,1998,3050,FAO TIER 1,kg of nutrients,25200000.000000,X,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,1999,1999,3050,FAO TIER 1,kg of nutrients,25000000.000000,X,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2000,2000,3050,FAO TIER 1,kg of nutrients,19200000.000000,X,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2001,2001,3050,FAO TIER 1,kg of nutrients,12600000.000000,X,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2002,2002,3050,FAO TIER 1,kg of nutrients,8969000.000000,E,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2003,2003,3050,FAO TIER 1,kg of nutrients,12030000.000000,E,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2004,2004,3050,FAO TIER 1,kg of nutrients,15030000.000000,E,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2005,2005,3050,FAO TIER 1,kg of nutrients,18092000.000000,E,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2006,2006,3050,FAO TIER 1,kg of nutrients,17074000.000000,E,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2007,2007,3050,FAO TIER 1,kg of nutrients,18897000.000000,E,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2008,2008,3050,FAO TIER 1,kg of nutrients,15677000.000000,E,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2009,2009,3050,FAO TIER 1,kg of nutrients,17412000.000000,E,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2010,2010,3050,FAO TIER 1,kg of nutrients,19444000.000000,E,
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5162,Agricultural Use in nutrients,2011,2011,3050,FAO TIER 1,kg of nutrients,18143000.000000,E,
