Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1992,1992,Head,1488.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1993,1993,Head,1179.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1994,1994,Head,1125.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1995,1995,Head,1021.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1996,1996,Head,1017.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1997,1997,Head,1013.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1998,1998,Head,908.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1999,1999,Head,899.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2000,2000,Head,725.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2001,2001,Head,725.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2002,2002,Head,600.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2003,2003,Head,566.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2004,2004,Head,565.000000,A
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2005,2005,Head,725.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2006,2006,Head,750.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2007,2007,Head,640.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2008,2008,Head,640.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2009,2009,Head,640.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2010,2010,Head,640.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2011,2011,Head,640.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2012,2012,Head,650.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2013,2013,Head,650.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2014,2014,Head,650.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2015,2015,Head,644.000000,I
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2016,2016,Head,635.000000,I
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2017,2017,Head,622.000000,I
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2018,2018,Head,627.000000,I
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2019,2019,Head,625.000000,I
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2020,2020,Head,623.000000,I
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),1992,1992,kg,66043.392000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),1993,1993,kg,52328.736000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),1994,1994,kg,49932.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),1995,1995,kg,45316.064000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),1996,1996,kg,45138.528000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),1997,1997,kg,44960.992000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),1998,1998,kg,40300.672000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),1999,1999,kg,39901.216000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2000,2000,kg,32178.400000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2001,2001,kg,32178.400000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2002,2002,kg,26630.400000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2003,2003,kg,25121.344000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2004,2004,kg,25076.960000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2005,2005,kg,32178.400000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2006,2006,kg,33288.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2007,2007,kg,28405.760000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2008,2008,kg,28405.760000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2009,2009,kg,28405.760000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2010,2010,kg,28405.760000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2011,2011,kg,28405.760000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2012,2012,kg,28849.600000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2013,2013,kg,28849.600000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2014,2014,kg,28849.600000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2015,2015,kg,28583.296000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2016,2016,kg,28183.840000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2017,2017,kg,27606.848000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2018,2018,kg,27828.768000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2019,2019,kg,27740.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72538,Amount excreted in manure (N content),2020,2020,kg,27651.232000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),1992,1992,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),1993,1993,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),1994,1994,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),1995,1995,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),1996,1996,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),1997,1997,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),1998,1998,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),1999,1999,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2000,2000,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2001,2001,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2002,2002,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2003,2003,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2004,2004,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2005,2005,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2006,2006,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2007,2007,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2008,2008,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2009,2009,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2010,2010,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2011,2011,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2012,2012,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2013,2013,kg,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,72380,Manure left on pasture (N content),2014,2014,kg,0.000000,E
