Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2010,2010,1000 persons,2102.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2011,2011,1000 persons,2104.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2012,2012,1000 persons,2106.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2013,2013,1000 persons,2107.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2014,2014,1000 persons,2078.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2015,2015,1000 persons,2079.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2016,2016,1000 persons,2081.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2017,2017,1000 persons,2082.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2018,2018,1000 persons,2083.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2019,2019,1000 persons,2083.460000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2020,2020,1000 persons,2083.370000,X
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2010,2010,1000 tonnes,0.000000,I
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2011,2011,1000 tonnes,0.000000,I
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2012,2012,1000 tonnes,0.000000,I
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2013,2013,1000 tonnes,0.000000,I
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2014,2014,1000 tonnes,0.000000,I
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2015,2015,1000 tonnes,0.000000,I
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2016,2016,1000 tonnes,0.000000,I
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2017,2017,1000 tonnes,0.000000,I
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2018,2018,1000 tonnes,0.000000,I
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2019,2019,1000 tonnes,0.000000,I
154,'807,North Macedonia,2501,'S2501,Population,5301,Domestic supply quantity,2020,2020,1000 tonnes,0.000000,I
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2010,2010,kcal/capita/day,2955.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2011,2011,kcal/capita/day,2910.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2012,2012,kcal/capita/day,2931.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,2949.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2014,2014,kcal/capita/day,2955.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2015,2015,kcal/capita/day,3003.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2016,2016,kcal/capita/day,3021.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2017,2017,kcal/capita/day,3009.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2018,2018,kcal/capita/day,3055.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2019,2019,kcal/capita/day,3106.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2020,2020,kcal/capita/day,3159.000000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,661,Food supply (kcal),2010,2010,million kcal,2267400.260000,E
154,'807,North Macedonia,2901,'S2901,Grand Total,661,Food supply (kcal),2011,2011,million kcal,2234820.410000,E
