Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,1992,1992,tonnes,970.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,1993,1993,tonnes,659.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,1994,1994,tonnes,540.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,1995,1995,tonnes,573.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,1996,1996,tonnes,556.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,1997,1997,tonnes,507.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,1998,1998,tonnes,529.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,1999,1999,tonnes,412.500000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2000,2000,tonnes,296.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2001,2001,tonnes,175.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2002,2002,tonnes,240.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2003,2003,tonnes,210.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2004,2004,tonnes,262.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2005,2005,tonnes,149.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2006,2006,tonnes,327.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2007,2007,tonnes,119.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2008,2008,tonnes,85.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2009,2009,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2010,2010,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2011,2011,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2012,2012,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2013,2013,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2014,2014,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2015,2015,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2016,2016,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2017,2017,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2018,2018,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2019,2019,tonnes,98.000000,A
154,807,North Macedonia,1357,Pesticides (total),5157,Agricultural Use,2020,2020,tonnes,98.000000,A
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,1992,1992,tonnes,227.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,1993,1993,tonnes,115.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,1994,1994,tonnes,93.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,1995,1995,tonnes,122.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,1996,1996,tonnes,112.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,1997,1997,tonnes,118.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,1998,1998,tonnes,103.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,1999,1999,tonnes,80.000000,Im
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2000,2000,tonnes,57.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2001,2001,tonnes,66.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2002,2002,tonnes,54.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2003,2003,tonnes,42.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2004,2004,tonnes,51.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2005,2005,tonnes,17.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2006,2006,tonnes,20.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2007,2007,tonnes,22.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2008,2008,tonnes,12.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2009,2009,tonnes,27.000000,Qm
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2010,2010,tonnes,27.000000,F
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2011,2011,tonnes,27.000000,F
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2012,2012,tonnes,27.000000,F
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2013,2013,tonnes,27.000000,F
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2014,2014,tonnes,27.000000,F
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2015,2015,tonnes,27.000000,F
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2016,2016,tonnes,27.000000,F
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2017,2017,tonnes,27.000000,F
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2018,2018,tonnes,27.000000,F
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2019,2019,tonnes,27.000000,F
154,807,North Macedonia,1309,Insecticides,5157,Agricultural Use,2020,2020,tonnes,27.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,1992,1992,tonnes,223.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,1993,1993,tonnes,223.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,1994,1994,tonnes,165.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,1995,1995,tonnes,169.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,1996,1996,tonnes,172.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,1997,1997,tonnes,143.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,1998,1998,tonnes,149.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,1999,1999,tonnes,99.500000,Im
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2000,2000,tonnes,50.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2001,2001,tonnes,59.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2002,2002,tonnes,73.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2003,2003,tonnes,52.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2004,2004,tonnes,32.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2005,2005,tonnes,33.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2006,2006,tonnes,16.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2007,2007,tonnes,17.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2008,2008,tonnes,7.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2009,2009,tonnes,11.000000,Qm
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2010,2010,tonnes,11.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2011,2011,tonnes,11.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2012,2012,tonnes,11.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2013,2013,tonnes,11.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2014,2014,tonnes,11.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2015,2015,tonnes,11.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2016,2016,tonnes,11.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2017,2017,tonnes,11.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2018,2018,tonnes,11.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2019,2019,tonnes,11.000000,F
154,807,North Macedonia,1320,Herbicides,5157,Agricultural Use,2020,2020,tonnes,11.000000,F
154,807,North Macedonia,1331,Fungicides and Bactericides,5157,Agricultural Use,1992,1992,tonnes,473.000000,Qm
154,807,North Macedonia,1331,Fungicides and Bactericides,5157,Agricultural Use,1993,1993,tonnes,294.000000,Qm
154,807,North Macedonia,1331,Fungicides and Bactericides,5157,Agricultural Use,1994,1994,tonnes,260.000000,Qm
154,807,North Macedonia,1331,Fungicides and Bactericides,5157,Agricultural Use,1995,1995,tonnes,262.000000,Qm
