Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2000,2000,millions,1820.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2001,2001,millions,1140.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2002,2002,millions,1230.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2003,2003,millions,1430.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2004,2004,millions,1720.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2005,2005,millions,1590.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2006,2006,millions,2000.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2007,2007,millions,1960.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2008,2008,millions,2450.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2009,2009,millions,3030.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2010,2010,millions,2350.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2011,2011,millions,2100.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2012,2012,millions,2290.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2013,2013,millions,3030.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2014,2014,millions,3430.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2015,2015,millions,3850.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2016,2016,millions,3400.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2017,2017,millions,2777.473468,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2018,2018,millions,3640.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2019,2019,millions,3900.000000,X,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2020,2020,millions,3302.351614,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6109,Value Local Currency,2021,2021,millions,3592.389648,E,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2000,2000,millions,2266.856735,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2001,2001,millions,1416.841717,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2002,2002,millions,1539.777174,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2003,2003,millions,1745.823090,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2004,2004,millions,2052.372304,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2005,2005,millions,1723.478019,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2006,2006,millions,2023.594180,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2007,2007,millions,1855.304167,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2008,2008,millions,2161.609010,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2009,2009,millions,2881.003151,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2010,2010,millions,2164.580907,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2011,2011,millions,2022.469361,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2012,2012,millions,2352.688191,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2013,2013,millions,2952.271995,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2014,2014,millions,3347.542243,I,
154,'807,North Macedonia,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6183,"Value Local Currency, 2015 prices",2015,2015,millions,3850.000000,I,
