Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Source Code,Source,Unit,Value,Flag,Note
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),1992,1992,3050,FAO TIER 1,tonnes,93212.150000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),1993,1993,3050,FAO TIER 1,tonnes,94316.450000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),1994,1994,3050,FAO TIER 1,tonnes,92483.450000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),1995,1995,3050,FAO TIER 1,tonnes,95181.050000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),1996,1996,3050,FAO TIER 1,tonnes,91311.200000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),1997,1997,3050,FAO TIER 1,tonnes,89158.350000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),1998,1998,3050,FAO TIER 1,tonnes,80145.200000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),1999,1999,3050,FAO TIER 1,tonnes,87125.600000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),2000,2000,3050,FAO TIER 1,tonnes,87640.300000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),2001,2001,3050,FAO TIER 1,tonnes,81026.600000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),2002,2002,3050,FAO TIER 1,tonnes,75246.500000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),2003,2003,3050,FAO TIER 1,tonnes,77970.750000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),2004,2004,3050,FAO TIER 1,tonnes,75862.400000,E,
154,'807,North Macedonia,1712,'F1712,All Crops,7245,Biomass burned (dry matter),2005,2005,3050,FAO TIER 1,tonnes,77666.550000,E,
