Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Source Code,Source,Unit,Value,Flag,Note
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1992,1992,3050,FAO TIER 1,Head,1488.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1993,1993,3050,FAO TIER 1,Head,1179.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1994,1994,3050,FAO TIER 1,Head,1125.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1995,1995,3050,FAO TIER 1,Head,1021.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1996,1996,3050,FAO TIER 1,Head,1017.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1997,1997,3050,FAO TIER 1,Head,1013.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1998,1998,3050,FAO TIER 1,Head,908.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,1999,1999,3050,FAO TIER 1,Head,899.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2000,2000,3050,FAO TIER 1,Head,725.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2001,2001,3050,FAO TIER 1,Head,725.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2002,2002,3050,FAO TIER 1,Head,600.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2003,2003,3050,FAO TIER 1,Head,566.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2004,2004,3050,FAO TIER 1,Head,565.000000,A,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2005,2005,3050,FAO TIER 1,Head,725.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2006,2006,3050,FAO TIER 1,Head,750.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2007,2007,3050,FAO TIER 1,Head,640.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2008,2008,3050,FAO TIER 1,Head,640.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2009,2009,3050,FAO TIER 1,Head,640.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2010,2010,3050,FAO TIER 1,Head,640.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2011,2011,3050,FAO TIER 1,Head,640.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2012,2012,3050,FAO TIER 1,Head,650.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2013,2013,3050,FAO TIER 1,Head,650.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2014,2014,3050,FAO TIER 1,Head,650.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2015,2015,3050,FAO TIER 1,Head,644.000000,I,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2016,2016,3050,FAO TIER 1,Head,631.000000,I,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2017,2017,3050,FAO TIER 1,Head,638.000000,I,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2018,2018,3050,FAO TIER 1,Head,635.000000,I,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2019,2019,3050,FAO TIER 1,Head,633.000000,I,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2030,2030,3050,FAO TIER 1,Head,747.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,5111,Stocks,2050,2050,3050,FAO TIER 1,Head,664.000000,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),1992,1992,3050,FAO TIER 1,kilotonnes,0.081800,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),1993,1993,3050,FAO TIER 1,kilotonnes,0.064800,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),1994,1994,3050,FAO TIER 1,kilotonnes,0.061900,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),1995,1995,3050,FAO TIER 1,kilotonnes,0.056200,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),1996,1996,3050,FAO TIER 1,kilotonnes,0.055900,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),1997,1997,3050,FAO TIER 1,kilotonnes,0.055700,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),1998,1998,3050,FAO TIER 1,kilotonnes,0.049900,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),1999,1999,3050,FAO TIER 1,kilotonnes,0.049400,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2000,2000,3050,FAO TIER 1,kilotonnes,0.039900,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2001,2001,3050,FAO TIER 1,kilotonnes,0.039900,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2002,2002,3050,FAO TIER 1,kilotonnes,0.033000,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2003,2003,3050,FAO TIER 1,kilotonnes,0.031100,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2004,2004,3050,FAO TIER 1,kilotonnes,0.031100,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2005,2005,3050,FAO TIER 1,kilotonnes,0.039900,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2006,2006,3050,FAO TIER 1,kilotonnes,0.041300,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2007,2007,3050,FAO TIER 1,kilotonnes,0.035200,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2008,2008,3050,FAO TIER 1,kilotonnes,0.035200,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2009,2009,3050,FAO TIER 1,kilotonnes,0.035200,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2010,2010,3050,FAO TIER 1,kilotonnes,0.035200,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2011,2011,3050,FAO TIER 1,kilotonnes,0.035200,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2012,2012,3050,FAO TIER 1,kilotonnes,0.035800,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2013,2013,3050,FAO TIER 1,kilotonnes,0.035800,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2014,2014,3050,FAO TIER 1,kilotonnes,0.035800,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2015,2015,3050,FAO TIER 1,kilotonnes,0.035400,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2016,2016,3050,FAO TIER 1,kilotonnes,0.034700,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2017,2017,3050,FAO TIER 1,kilotonnes,0.035100,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2018,2018,3050,FAO TIER 1,kilotonnes,0.034900,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2019,2019,3050,FAO TIER 1,kilotonnes,0.034800,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2030,2030,3050,FAO TIER 1,kilotonnes,0.041100,E,
154,'807,North Macedonia,946,'02112,Buffalo,7225,Emissions (CH4),2050,2050,3050,FAO TIER 1,kilotonnes,0.036500,E,
154,'807,North Macedonia,960,'F0960,"Cattle, dairy",5111,Stocks,1992,1992,3050,FAO TIER 1,Head,97000.000000,E,
