Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),1992,1992,gigagrams,88.311172,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),1993,1993,gigagrams,87.636434,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),1994,1994,gigagrams,89.585879,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),1995,1995,gigagrams,88.710237,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),1996,1996,gigagrams,88.324965,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),1997,1997,gigagrams,89.607782,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),1998,1998,gigagrams,90.336193,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),1999,1999,gigagrams,90.841963,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2000,2000,gigagrams,90.973810,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2001,2001,gigagrams,90.566194,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2002,2002,gigagrams,92.711489,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2003,2003,gigagrams,91.968437,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2004,2004,gigagrams,93.149552,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2005,2005,gigagrams,92.509132,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2006,2006,gigagrams,92.830941,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2007,2007,gigagrams,94.410115,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2008,2008,gigagrams,93.879252,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2009,2009,gigagrams,94.752902,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2010,2010,gigagrams,94.524511,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2011,2011,gigagrams,94.355104,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2012,2012,gigagrams,94.595553,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2013,2013,gigagrams,94.891028,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2014,2014,gigagrams,95.150228,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2015,2015,gigagrams,95.872261,Fc
154,North Macedonia,6988,Domestic wastewater,723112,Emissions (CO2eq) (SAR),2016,2016,gigagrams,95.646270,Fc
