Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Source Code,Source,Unit,Value,Flag,Note
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),1992,1992,3050,FAO TIER 1,kilotonnes,0.127000,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),1993,1993,3050,FAO TIER 1,kilotonnes,0.103800,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),1994,1994,3050,FAO TIER 1,kilotonnes,0.132000,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),1995,1995,3050,FAO TIER 1,kilotonnes,0.144500,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),1996,1996,3050,FAO TIER 1,kilotonnes,0.112500,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),1997,1997,3050,FAO TIER 1,kilotonnes,0.123200,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),1998,1998,3050,FAO TIER 1,kilotonnes,0.132700,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),1999,1999,3050,FAO TIER 1,kilotonnes,0.128100,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2000,2000,3050,FAO TIER 1,kilotonnes,0.116900,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2001,2001,3050,FAO TIER 1,kilotonnes,0.100200,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2002,2002,3050,FAO TIER 1,kilotonnes,0.112900,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2003,2003,3050,FAO TIER 1,kilotonnes,0.098300,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2004,2004,3050,FAO TIER 1,kilotonnes,0.135200,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2005,2005,3050,FAO TIER 1,kilotonnes,0.128000,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2006,2006,3050,FAO TIER 1,kilotonnes,0.119600,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2007,2007,3050,FAO TIER 1,kilotonnes,0.097000,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2008,2008,3050,FAO TIER 1,kilotonnes,0.121500,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2009,2009,3050,FAO TIER 1,kilotonnes,0.119700,E,
154,'807,North Macedonia,5064,Crop Residues,7234,Direct emissions (N2O),2010,2010,3050,FAO TIER 1,kilotonnes,0.107700,E,
