Area Code,Area,Source Code,Source,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Unit,Value,Flag,Note
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1982,1982,%,8.410392,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1983,1983,%,8.334384,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1984,1984,%,8.760458,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1985,1985,%,8.338876,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1986,1986,%,8.446029,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1987,1987,%,8.719900,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1988,1988,%,9.126461,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1989,1989,%,9.292708,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1990,1990,%,8.278733,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1991,1991,%,8.326715,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1992,1992,%,8.517944,X,Break in series: Other or unspecified type of break
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1993,1993,%,8.075472,X,
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1994,1994,%,8.592671,X,
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1995,1995,%,7.571147,X,
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1996,1996,%,7.352941,X,
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1997,1997,%,7.210032,X,
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1998,1998,%,6.451613,X,
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,1999,1999,%,5.696203,X,
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,2000,2000,%,5.128205,X,
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,2001,2001,%,4.697987,X,Data reference period: April
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,2002,2002,%,4.285714,X,Data reference period: April
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,11,Total,2003,2003,%,4.119850,X,Data reference period: April
154,North Macedonia,3018,Employment surveys,21152,Share of employees in agriculture (%) -  Annual,21,Male,1982,1982,%,9.122423,X,Institutional sector coverage: Nonstandard institutional sector coverage
