Area Code,Area Code (M49),Area,Source Code,Source,Indicator Code,Indicator,Sex Code,Sex,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1982,1982,%,8.410000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1983,1983,%,8.330000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1984,1984,%,8.760000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1985,1985,%,8.340000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1986,1986,%,8.450000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1987,1987,%,8.720000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1988,1988,%,9.130000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1989,1989,%,9.290000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1990,1990,%,8.280000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1991,1991,%,8.330000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1992,1992,%,8.520000,X,Break in series: Other or unspecified type of break
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1993,1993,%,8.080000,X,
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1994,1994,%,8.590000,X,
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1995,1995,%,7.570000,X,
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1996,1996,%,7.350000,X,
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1997,1997,%,7.210000,X,
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1998,1998,%,6.450000,X,
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,1999,1999,%,5.700000,X,
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,2000,2000,%,5.130000,X,
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,2001,2001,%,4.700000,X,Data reference period: April
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,2002,2002,%,4.290000,X,Data reference period: April
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",1,Total,6121,Value,2003,2003,%,4.120000,X,Data reference period: April
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",2,Male,6121,Value,1982,1982,%,9.120000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",2,Male,6121,Value,1983,1983,%,9.200000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",2,Male,6121,Value,1984,1984,%,9.720000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",2,Male,6121,Value,1985,1985,%,9.570000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",2,Male,6121,Value,1986,1986,%,9.650000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",2,Male,6121,Value,1987,1987,%,10.220000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",2,Male,6121,Value,1988,1988,%,10.700000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",2,Male,6121,Value,1989,1989,%,10.810000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",2,Male,6121,Value,1990,1990,%,9.740000,X,Institutional sector coverage: Nonstandard institutional sector coverage
154,'807,North Macedonia,3018,Employment surveys,21152,"Share of employees in agriculture, forestry and fishing in total employees",2,Male,6121,Value,1991,1991,%,9.860000,X,Institutional sector coverage: Nonstandard institutional sector coverage
