Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,1992,1992,tonnes,18081.000000,E
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,1993,1993,tonnes,18081.000000,E
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,1994,1994,tonnes,36181.000000,E
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,1995,1995,tonnes,25109.500000,E
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,1996,1996,tonnes,30400.000000,X
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,1997,1997,tonnes,28100.000000,X
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,1998,1998,tonnes,25200.000000,X
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,1999,1999,tonnes,25000.000000,X
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,2000,2000,tonnes,19200.000000,X
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,2001,2001,tonnes,13600.000000,E
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,2002,2002,tonnes,12334.500000,E
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,2003,2003,tonnes,13665.000000,E
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,2004,2004,tonnes,16615.000000,E
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,2005,2005,tonnes,18596.000000,E
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,2006,2006,tonnes,17087.000000,E
154,'807,North Macedonia,5061,Synthetic Fertilizers,7275,Cropland nitrogen,2007,2007,tonnes,18298.500000,E
