Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),1992,1992,%,14.340800,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),1993,1993,%,15.386000,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),1994,1994,%,18.238000,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),1995,1995,%,17.778700,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),1996,1996,%,15.587400,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),1997,1997,%,15.298300,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),1998,1998,%,12.203200,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),1999,1999,%,11.846800,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2000,2000,%,11.664900,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2001,2001,%,10.872700,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2002,2002,%,11.095300,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2003,2003,%,10.765600,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2004,2004,%,12.028600,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2005,2005,%,10.885500,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2006,2006,%,11.154900,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2007,2007,%,12.023100,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2008,2008,%,11.808900,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2009,2009,%,12.280300,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2010,2010,%,12.662300,E
154,'807,North Macedonia,6996,Farm gate,726313,Emissions Share (CO2eq) (AR5),2011,2011,%,11.886400,E
