Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,1994,1994,kg/ha,54.710000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,1995,1995,kg/ha,38.440000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,1996,1996,kg/ha,46.200000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,1997,1997,kg/ha,43.430000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,1998,1998,kg/ha,39.690000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,1999,1999,kg/ha,39.490000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2000,2000,kg/ha,32.050000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2001,2001,kg/ha,20.590000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2002,2002,kg/ha,16.520000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2003,2003,kg/ha,23.360000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2004,2004,kg/ha,29.530000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2005,2005,kg/ha,37.150000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2006,2006,kg/ha,35.790000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2007,2007,kg/ha,40.460000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2008,2008,kg/ha,34.080000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2009,2009,kg/ha,38.270000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2010,2010,kg/ha,43.310000,E
154,'807,North Macedonia,3102,Nutrient nitrogen N (total),5159,Use per area of cropland,2011,2011,kg/ha,40.410000,E
