Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),1992,1992,kilotonnes,3.346358,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),1993,1993,kilotonnes,3.338558,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),1994,1994,kilotonnes,3.334669,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),1995,1995,kilotonnes,3.337271,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),1996,1996,kilotonnes,3.347673,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),1997,1997,kilotonnes,3.360173,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),1998,1998,kilotonnes,3.378100,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),1999,1999,kilotonnes,3.394287,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2000,2000,kilotonnes,3.409781,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2001,2001,kilotonnes,3.424138,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2002,2002,kilotonnes,3.399360,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2003,2003,kilotonnes,3.410493,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2004,2004,kilotonnes,3.420204,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2005,2005,kilotonnes,3.427458,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2006,2006,kilotonnes,3.433134,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2007,2007,kilotonnes,3.438739,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2008,2008,kilotonnes,3.444358,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2009,2009,kilotonnes,3.450706,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2010,2010,kilotonnes,3.457998,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2011,2011,kilotonnes,3.463946,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2012,2012,kilotonnes,3.468161,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2013,2013,kilotonnes,3.473189,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2014,2014,kilotonnes,3.478976,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2015,2015,kilotonnes,3.483612,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2016,2016,kilotonnes,3.487422,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2017,2017,kilotonnes,3.490807,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2018,2018,kilotonnes,3.493693,E
154,'807,North Macedonia,6988,Domestic wastewater,7225,Emissions (CH4),2019,2019,kilotonnes,3.494496,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),1992,1992,kilotonnes,0.058186,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),1993,1993,kilotonnes,0.056537,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),1994,1994,kilotonnes,0.063091,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),1995,1995,kilotonnes,0.060090,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),1996,1996,kilotonnes,0.058141,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),1997,1997,kilotonnes,0.061038,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),1998,1998,kilotonnes,0.061911,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),1999,1999,kilotonnes,0.062053,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2000,2000,kilotonnes,0.061257,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2001,2001,kilotonnes,0.059053,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2002,2002,kilotonnes,0.064591,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2003,2003,kilotonnes,0.061788,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2004,2004,kilotonnes,0.065212,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2005,2005,kilotonnes,0.062842,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2006,2006,kilotonnes,0.063563,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2007,2007,kilotonnes,0.068378,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2008,2008,kilotonnes,0.066518,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2009,2009,kilotonnes,0.069184,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2010,2010,kilotonnes,0.068349,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2011,2011,kilotonnes,0.067668,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2012,2012,kilotonnes,0.068260,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2013,2013,kilotonnes,0.069045,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2014,2014,kilotonnes,0.069741,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2015,2015,kilotonnes,0.071925,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2016,2016,kilotonnes,0.071068,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2017,2017,kilotonnes,0.071313,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2018,2018,kilotonnes,0.071372,E
154,'807,North Macedonia,6988,Domestic wastewater,7230,Emissions (N2O),2019,2019,kilotonnes,0.071389,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),1992,1992,kilotonnes,16.981017,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),1993,1993,kilotonnes,17.056461,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),1994,1994,kilotonnes,17.278735,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),1995,1995,kilotonnes,17.498252,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),1996,1996,kilotonnes,17.487324,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),1997,1997,kilotonnes,17.353097,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),1998,1998,kilotonnes,17.322964,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),1999,1999,kilotonnes,17.343122,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2000,2000,kilotonnes,17.324446,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2001,2001,kilotonnes,17.311169,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2002,2002,kilotonnes,17.373975,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2003,2003,kilotonnes,17.537204,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2004,2004,kilotonnes,17.646255,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2005,2005,kilotonnes,17.722082,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2006,2006,kilotonnes,17.794306,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2007,2007,kilotonnes,17.947315,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2008,2008,kilotonnes,18.083121,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2009,2009,kilotonnes,18.041792,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2010,2010,kilotonnes,18.042246,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2011,2011,kilotonnes,18.128190,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2012,2012,kilotonnes,18.069986,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2013,2013,kilotonnes,18.152012,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2014,2014,kilotonnes,18.190598,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2015,2015,kilotonnes,18.095312,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2016,2016,kilotonnes,18.141392,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2017,2017,kilotonnes,18.186771,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2018,2018,kilotonnes,18.276995,E
154,'807,North Macedonia,6990,Incineration,7273,Emissions (CO2),2019,2019,kilotonnes,18.272228,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),1992,1992,kilotonnes,0.323459,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),1993,1993,kilotonnes,0.240914,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),1994,1994,kilotonnes,0.260166,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),1995,1995,kilotonnes,0.254182,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),1996,1996,kilotonnes,0.263379,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),1997,1997,kilotonnes,0.269317,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),1998,1998,kilotonnes,0.269461,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),1999,1999,kilotonnes,0.238164,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),2000,2000,kilotonnes,0.243602,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),2001,2001,kilotonnes,0.218563,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),2002,2002,kilotonnes,0.181253,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),2003,2003,kilotonnes,0.223902,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),2004,2004,kilotonnes,0.236663,E
154,'807,North Macedonia,6989,Industrial wastewater,7225,Emissions (CH4),2005,2005,kilotonnes,0.212274,E
