Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,1992,1992,%,51.400000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,1993,1993,%,51.000000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,1994,1994,%,50.960000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,1995,1995,%,50.610000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,1996,1996,%,50.730000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,1997,1997,%,50.450000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,1998,1998,%,50.770000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,1999,1999,%,50.410000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2000,2000,%,48.560000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2001,2001,%,48.840000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2002,2002,%,52.460000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2003,2003,%,51.160000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2004,2004,%,49.630000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2005,2005,%,48.290000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2006,2006,%,48.130000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2007,2007,%,42.650000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2008,2008,%,42.130000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2009,2009,%,40.170000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2010,2010,%,44.370000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2011,2011,%,44.330000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2012,2012,%,50.240000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2013,2013,%,49.960000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2014,2014,%,50.000000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2015,2015,%,50.040000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2016,2016,%,50.160000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2017,2017,%,50.200000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2018,2018,%,50.120000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2019,2019,%,50.160000,E
154,'807,North Macedonia,6610,Agricultural land,7209,Share in Land area,2020,2020,%,50.040000,E
154,'807,North Macedonia,6621,Arable land,7208,Share in Agricultural land,1992,1992,%,46.370000,E
154,'807,North Macedonia,6621,Arable land,7208,Share in Agricultural land,1993,1993,%,46.950000,E
154,'807,North Macedonia,6621,Arable land,7208,Share in Agricultural land,1994,1994,%,46.990000,E
154,'807,North Macedonia,6621,Arable land,7208,Share in Agricultural land,1995,1995,%,47.090000,E
154,'807,North Macedonia,6621,Arable land,7208,Share in Agricultural land,1996,1996,%,47.210000,E
154,'807,North Macedonia,6621,Arable land,7208,Share in Agricultural land,1997,1997,%,46.770000,E
154,'807,North Macedonia,6621,Arable land,7208,Share in Agricultural land,1998,1998,%,45.470000,E
154,'807,North Macedonia,6621,Arable land,7208,Share in Agricultural land,1999,1999,%,45.870000,E
154,'807,North Macedonia,6621,Arable land,7208,Share in Agricultural land,2000,2000,%,44.940000,E
154,'807,North Macedonia,6621,Arable land,7208,Share in Agricultural land,2001,2001,%,45.730000,E
