Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,1992,1992,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,1993,1993,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,1994,1994,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,1995,1995,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,1996,1996,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,1997,1997,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,1998,1998,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,1999,1999,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2000,2000,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2001,2001,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2002,2002,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2003,2003,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2004,2004,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2005,2005,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2006,2006,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2007,2007,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2008,2008,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2009,2009,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2010,2010,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2011,2011,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2012,2012,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2013,2013,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2014,2014,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2015,2015,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2016,2016,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2017,2017,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2018,2018,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2019,2019,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7213,Livestock units per agricultural land area,2020,2020,LSU/ha,0.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,1992,1992,% of total LSU,0.200000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,1993,1993,% of total LSU,0.150000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,1994,1994,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,1995,1995,% of total LSU,0.130000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,1996,1996,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,1997,1997,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,1998,1998,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,1999,1999,% of total LSU,0.150000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2000,2000,% of total LSU,0.120000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2001,2001,% of total LSU,0.120000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2002,2002,% of total LSU,0.110000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2003,2003,% of total LSU,0.100000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2004,2004,% of total LSU,0.100000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2005,2005,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2006,2006,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2007,2007,% of total LSU,0.130000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2008,2008,% of total LSU,0.130000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2009,2009,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2010,2010,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2011,2011,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2012,2012,% of total LSU,0.150000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2013,2013,% of total LSU,0.150000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2014,2014,% of total LSU,0.150000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2015,2015,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2016,2016,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2017,2017,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2018,2018,% of total LSU,0.140000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2019,2019,% of total LSU,0.170000,E
154,'807,North Macedonia,946,'02112,Buffalo,7211,Share in total livestock,2020,2020,% of total LSU,0.160000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,1992,1992,Livestock units (LSU),1041.600000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,1993,1993,Livestock units (LSU),825.300000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,1994,1994,Livestock units (LSU),787.500000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,1995,1995,Livestock units (LSU),714.700000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,1996,1996,Livestock units (LSU),711.900000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,1997,1997,Livestock units (LSU),709.100000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,1998,1998,Livestock units (LSU),635.600000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,1999,1999,Livestock units (LSU),629.300000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,2000,2000,Livestock units (LSU),507.500000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,2001,2001,Livestock units (LSU),507.500000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,2002,2002,Livestock units (LSU),420.000000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,2003,2003,Livestock units (LSU),396.200000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,2004,2004,Livestock units (LSU),395.500000,E
154,'807,North Macedonia,946,'02112,Buffalo,5118,Stocks,2005,2005,Livestock units (LSU),507.500000,E
