Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,1992,1992,kg/ha,1.470000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,1993,1993,kg/ha,0.990000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,1994,1994,kg/ha,0.820000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,1995,1995,kg/ha,0.870000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,1996,1996,kg/ha,0.840000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,1997,1997,kg/ha,0.780000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,1998,1998,kg/ha,0.830000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,1999,1999,kg/ha,0.650000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2000,2000,kg/ha,0.490000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2001,2001,kg/ha,0.290000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2002,2002,kg/ha,0.440000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2003,2003,kg/ha,0.410000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2004,2004,kg/ha,0.510000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2005,2005,kg/ha,0.310000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2006,2006,kg/ha,0.690000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2007,2007,kg/ha,0.250000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2008,2008,kg/ha,0.180000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2009,2009,kg/ha,0.220000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2010,2010,kg/ha,0.220000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2011,2011,kg/ha,0.220000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2012,2012,kg/ha,0.220000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2013,2013,kg/ha,0.220000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2014,2014,kg/ha,0.220000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2015,2015,kg/ha,0.220000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2016,2016,kg/ha,0.210000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2017,2017,kg/ha,0.210000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2018,2018,kg/ha,0.210000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2019,2019,kg/ha,0.210000,E
154,'807,North Macedonia,1357,Pesticides (total),5159,Use per area of cropland,2020,2020,kg/ha,0.210000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,1992,1992,kg/cap,0.490000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,1993,1993,kg/cap,0.330000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,1994,1994,kg/cap,0.270000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,1995,1995,kg/cap,0.290000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,1996,1996,kg/cap,0.280000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,1997,1997,kg/cap,0.250000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,1998,1998,kg/cap,0.260000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,1999,1999,kg/cap,0.200000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,2000,2000,kg/cap,0.150000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,2001,2001,kg/cap,0.090000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,2002,2002,kg/cap,0.120000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,2003,2003,kg/cap,0.100000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,2004,2004,kg/cap,0.130000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,2005,2005,kg/cap,0.070000,E
154,'807,North Macedonia,1357,Pesticides (total),5172,Use per capita,2006,2006,kg/cap,0.160000,E
