Area Code,Area Code (M49),Area,Months Code,Months,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,7001,January,7271,Temperature change,1992,1992,°C,0.185000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,1993,1993,°C,-0.393000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,1994,1994,°C,2.815000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,1995,1995,°C,-0.114000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,1996,1996,°C,0.658000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,1997,1997,°C,1.933000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,1998,1998,°C,2.239000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,1999,1999,°C,0.972000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2000,2000,°C,-3.008000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2001,2001,°C,3.083000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2002,2002,°C,-1.013000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2003,2003,°C,2.079000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2004,2004,°C,-0.660000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2005,2005,°C,0.936000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2006,2006,°C,-1.282000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2007,2007,°C,3.964000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2008,2008,°C,0.970000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2009,2009,°C,1.146000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2010,2010,°C,1.338000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2011,2011,°C,1.021000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2012,2012,°C,-1.160000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2013,2013,°C,1.791000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2014,2014,°C,3.540000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2015,2015,°C,1.593000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2016,2016,°C,1.160000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2017,2017,°C,-3.380000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2018,2018,°C,2.584000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2019,2019,°C,-0.750000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2020,2020,°C,1.212000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2021,2021,°C,3.018000,E
154,'807,North Macedonia,7001,January,7271,Temperature change,2022,2022,°C,1.171000,E
154,'807,North Macedonia,7001,January,6078,Standard Deviation,1992,1992,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,1993,1993,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,1994,1994,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,1995,1995,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,1996,1996,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,1997,1997,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,1998,1998,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,1999,1999,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2000,2000,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2001,2001,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2002,2002,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2003,2003,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2004,2004,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2005,2005,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2006,2006,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2007,2007,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2008,2008,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2009,2009,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2010,2010,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2011,2011,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2012,2012,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2013,2013,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2014,2014,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2015,2015,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2016,2016,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2017,2017,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2018,2018,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2019,2019,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2020,2020,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2021,2021,°C,,M
154,'807,North Macedonia,7001,January,6078,Standard Deviation,2022,2022,°C,,M
154,'807,North Macedonia,7002,February,7271,Temperature change,1992,1992,°C,-0.851000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,1993,1993,°C,-2.555000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,1994,1994,°C,0.338000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,1995,1995,°C,3.003000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,1996,1996,°C,-1.389000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,1997,1997,°C,0.917000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,1998,1998,°C,2.136000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,1999,1999,°C,-1.339000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2000,2000,°C,0.294000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2001,2001,°C,1.484000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2002,2002,°C,3.666000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2003,2003,°C,-4.087000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2004,2004,°C,0.483000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2005,2005,°C,-2.453000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2006,2006,°C,-1.049000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2007,2007,°C,2.525000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2008,2008,°C,1.550000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2009,2009,°C,-0.368000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2010,2010,°C,0.894000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2011,2011,°C,0.330000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2012,2012,°C,-3.468000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2013,2013,°C,1.854000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2014,2014,°C,3.531000,E
154,'807,North Macedonia,7002,February,7271,Temperature change,2015,2015,°C,0.503000,E
