Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),1992,1992,kilotonnes,87.705396,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),1993,1993,kilotonnes,169.805286,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),1994,1994,kilotonnes,105.181469,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),1995,1995,kilotonnes,99.063709,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),1996,1996,kilotonnes,188.160089,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),1997,1997,kilotonnes,171.150868,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),1998,1998,kilotonnes,113.574304,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),1999,1999,kilotonnes,120.505239,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2000,2000,kilotonnes,109.903714,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2001,2001,kilotonnes,105.866729,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2002,2002,kilotonnes,110.378024,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2003,2003,kilotonnes,110.595769,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2004,2004,kilotonnes,112.596669,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2005,2005,kilotonnes,113.687264,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2006,2006,kilotonnes,114.234539,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2007,2007,kilotonnes,130.400839,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2008,2008,kilotonnes,133.747974,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2009,2009,kilotonnes,142.640594,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2010,2010,kilotonnes,150.391249,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2011,2011,kilotonnes,158.193714,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2012,2012,kilotonnes,150.974319,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2013,2013,kilotonnes,171.032984,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2014,2014,kilotonnes,179.938749,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2015,2015,kilotonnes,199.456794,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2016,2016,kilotonnes,227.297519,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2017,2017,kilotonnes,237.958480,Fc
154,North Macedonia,6815,Transport,723113,Emissions (CO2eq) (AR5),2018,2018,kilotonnes,233.483845,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,1992,1992,kilotonnes,85.925500,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,1993,1993,kilotonnes,165.830000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,1994,1994,kilotonnes,103.043000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,1995,1995,kilotonnes,97.103000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,1996,1996,kilotonnes,185.421500,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,1997,1997,kilotonnes,167.285000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,1998,1998,kilotonnes,111.733000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,1999,1999,kilotonnes,118.553000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2000,2000,kilotonnes,108.213000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2001,2001,kilotonnes,104.319400,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2002,2002,kilotonnes,108.776500,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2003,2003,kilotonnes,108.996500,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2004,2004,kilotonnes,110.976500,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2005,2005,kilotonnes,112.076500,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2006,2006,kilotonnes,112.569400,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2007,2007,kilotonnes,128.453000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2008,2008,kilotonnes,131.753000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2009,2009,kilotonnes,140.553000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2010,2010,kilotonnes,148.253000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2011,2011,kilotonnes,155.953000,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2012,2012,kilotonnes,148.869400,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2013,2013,kilotonnes,168.669400,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2014,2014,kilotonnes,177.469400,Fc
154,North Macedonia,6815,Transport,7273,CO2 emissions,2015,2015,kilotonnes,196.776500,Fc
