Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,1992,1992,1000 persons,1993.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,1993,1993,1000 persons,1979.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,1994,1994,1000 persons,1969.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,1995,1995,1000 persons,1967.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,1996,1996,1000 persons,1975.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,1997,1997,1000 persons,1992.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,1998,1998,1000 persons,2013.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,1999,1999,1000 persons,2034.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2000,2000,1000 persons,2052.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2001,2001,1000 persons,2065.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2002,2002,1000 persons,2074.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2003,2003,1000 persons,2081.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2004,2004,1000 persons,2086.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2005,2005,1000 persons,2090.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2006,2006,1000 persons,2094.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2007,2007,1000 persons,2097.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2008,2008,1000 persons,2099.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2009,2009,1000 persons,2101.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2010,2010,1000 persons,2102.000000,X
154,'807,North Macedonia,2501,'S2501,Population,511,Total Population - Both sexes,2011,2011,1000 persons,2104.000000,X
