Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2000-2002,%,110,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2001-2003,%,110,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2002-2004,%,113,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2003-2005,%,114,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2004-2006,%,115,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2005-2007,%,117,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2006-2008,%,119,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2007-2009,%,121,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2008-2010,%,120,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2009-2011,%,119,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2010-2012,%,118,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2011-2013,%,118,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2012-2014,%,118,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2013-2015,%,119,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2014-2016,%,120,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2015-2017,%,120,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2016-2018,%,121,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2017-2019,%,122,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2018-2020,%,123,E,
154,'807,North Macedonia,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2019-2021,%,123,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2000-2002,kcal/capita/day,2729,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2001-2003,kcal/capita/day,2730,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2002-2004,kcal/capita/day,2815,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2003-2005,kcal/capita/day,2836,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2004-2006,kcal/capita/day,2867,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2005-2007,kcal/capita/day,2917,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2006-2008,kcal/capita/day,2979,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2007-2009,kcal/capita/day,3037,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2008-2010,kcal/capita/day,3016,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2009-2011,kcal/capita/day,2999,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2010-2012,kcal/capita/day,2976,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2011-2013,kcal/capita/day,2974,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2012-2014,kcal/capita/day,2974,E,
154,'807,North Macedonia,22000,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2013-2015,kcal/capita/day,2983,E,
