Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2002,2002,tonnes,5598.670000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2003,2003,tonnes,3547.730000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2004,2004,tonnes,1305.240000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2005,2005,tonnes,206.880000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2006,2006,tonnes,357.760000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2007,2007,tonnes,346.920000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2008,2008,tonnes,288.780000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2009,2009,tonnes,348.350000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2010,2010,tonnes,390.500000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2011,2011,tonnes,331.620000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2012,2012,tonnes,325.580000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2013,2013,tonnes,349.390000,X
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2014,2014,tonnes,361.240000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2015,2015,tonnes,346.020000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2016,2016,tonnes,336.110000,X
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2017,2017,tonnes,362.210000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2018,2018,tonnes,583.370000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2019,2019,tonnes,309.770000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5610,Import Quantity,2020,2020,tonnes,265.350000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5622,Import Value,2002,2002,1000 US$,991.060000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5622,Import Value,2003,2003,1000 US$,706.090000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5622,Import Value,2004,2004,1000 US$,358.640000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5622,Import Value,2005,2005,1000 US$,89.570000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5622,Import Value,2006,2006,1000 US$,178.910000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5622,Import Value,2007,2007,1000 US$,166.950000,A
154,'807,North Macedonia,4007,"Ammonia, anhydrous",5622,Import Value,2008,2008,1000 US$,181.240000,A
