Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,North Macedonia,1402,Ammonia,5610,Import Quantity,1998,1998,tonnes,1400.000000,*
154,North Macedonia,1402,Ammonia,5610,Import Quantity,1999,1999,tonnes,4500.000000,*
154,North Macedonia,1402,Ammonia,5610,Import Quantity,2000,2000,tonnes,2500.000000,*
154,North Macedonia,1402,Ammonia,5610,Import Quantity,2001,2001,tonnes,200.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5610,Import Quantity,1994,1994,tonnes,10900.000000,
154,North Macedonia,1362,Ammonium nitrate (AN),5610,Import Quantity,1995,1995,tonnes,10500.000000,
154,North Macedonia,1362,Ammonium nitrate (AN),5610,Import Quantity,1996,1996,tonnes,14000.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5610,Import Quantity,1997,1997,tonnes,11400.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5610,Import Quantity,1998,1998,tonnes,9100.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5610,Import Quantity,1999,1999,tonnes,7200.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5610,Import Quantity,2000,2000,tonnes,6800.000000,
154,North Macedonia,1362,Ammonium nitrate (AN),5610,Import Quantity,2001,2001,tonnes,2100.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5157,Agricultural Use,1994,1994,tonnes,10870.000000,
154,North Macedonia,1362,Ammonium nitrate (AN),5157,Agricultural Use,1995,1995,tonnes,10500.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5157,Agricultural Use,1996,1996,tonnes,14000.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5157,Agricultural Use,1997,1997,tonnes,11400.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5157,Agricultural Use,1998,1998,tonnes,9100.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5157,Agricultural Use,1999,1999,tonnes,7200.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5157,Agricultural Use,2000,2000,tonnes,6800.000000,*
154,North Macedonia,1362,Ammonium nitrate (AN),5157,Agricultural Use,2001,2001,tonnes,2100.000000,*
154,North Macedonia,1361,Ammonium sulphate,5610,Import Quantity,1994,1994,tonnes,1963.000000,
154,North Macedonia,1361,Ammonium sulphate,5610,Import Quantity,1995,1995,tonnes,2226.000000,
154,North Macedonia,1361,Ammonium sulphate,5610,Import Quantity,1996,1996,tonnes,2000.000000,*
154,North Macedonia,1361,Ammonium sulphate,5610,Import Quantity,1997,1997,tonnes,2000.000000,*
154,North Macedonia,1361,Ammonium sulphate,5157,Agricultural Use,1994,1994,tonnes,1963.000000,
154,North Macedonia,1361,Ammonium sulphate,5157,Agricultural Use,1995,1995,tonnes,2200.000000,*
154,North Macedonia,1361,Ammonium sulphate,5157,Agricultural Use,1996,1996,tonnes,2000.000000,*
154,North Macedonia,1361,Ammonium sulphate,5157,Agricultural Use,1997,1997,tonnes,2000.000000,*
154,North Macedonia,1372,Calcium ammonium nitrate,5610,Import Quantity,1994,1994,tonnes,3736.000000,
154,North Macedonia,1372,Calcium ammonium nitrate,5610,Import Quantity,1995,1995,tonnes,404.000000,
154,North Macedonia,1372,Calcium ammonium nitrate,5610,Import Quantity,1996,1996,tonnes,1000.000000,*
154,North Macedonia,1372,Calcium ammonium nitrate,5610,Import Quantity,1998,1998,tonnes,200.000000,*
154,North Macedonia,1372,Calcium ammonium nitrate,5157,Agricultural Use,1994,1994,tonnes,3731.000000,
154,North Macedonia,1372,Calcium ammonium nitrate,5157,Agricultural Use,1995,1995,tonnes,404.000000,
154,North Macedonia,1372,Calcium ammonium nitrate,5157,Agricultural Use,1996,1996,tonnes,1000.000000,*
154,North Macedonia,1372,Calcium ammonium nitrate,5157,Agricultural Use,1998,1998,tonnes,200.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5610,Import Quantity,1998,1998,tonnes,1500.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5610,Import Quantity,1999,1999,tonnes,3000.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5610,Import Quantity,2000,2000,tonnes,4000.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5610,Import Quantity,2001,2001,tonnes,5000.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5157,Agricultural Use,1994,1994,tonnes,14000.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5157,Agricultural Use,1995,1995,tonnes,6000.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5157,Agricultural Use,1996,1996,tonnes,6000.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5157,Agricultural Use,1997,1997,tonnes,9400.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5157,Agricultural Use,1998,1998,tonnes,4500.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5157,Agricultural Use,1999,1999,tonnes,8000.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5157,Agricultural Use,2000,2000,tonnes,9000.000000,*
154,North Macedonia,1392,Complex Fertilizer (K2o),5157,Agricultural Use,2001,2001,tonnes,5000.000000,*
154,North Macedonia,1377,Concent Superphosphate,5610,Import Quantity,1994,1994,tonnes,1800.000000,*
154,North Macedonia,1377,Concent Superphosphate,5610,Import Quantity,1998,1998,tonnes,1000.000000,*
154,North Macedonia,1377,Concent Superphosphate,5610,Import Quantity,1999,1999,tonnes,1000.000000,*
154,North Macedonia,1377,Concent Superphosphate,5610,Import Quantity,2000,2000,tonnes,1000.000000,*
154,North Macedonia,1377,Concent Superphosphate,5157,Agricultural Use,1998,1998,tonnes,300.000000,*
154,North Macedonia,1377,Concent Superphosphate,5157,Agricultural Use,1999,1999,tonnes,300.000000,*
154,North Macedonia,1377,Concent Superphosphate,5157,Agricultural Use,2000,2000,tonnes,1000.000000,*
154,North Macedonia,1388,Muriate Over 45% K2o,5610,Import Quantity,1994,1994,tonnes,13800.000000,*
154,North Macedonia,1388,Muriate Over 45% K2o,5610,Import Quantity,1995,1995,tonnes,6000.000000,*
154,North Macedonia,1388,Muriate Over 45% K2o,5610,Import Quantity,1996,1996,tonnes,6000.000000,*
154,North Macedonia,1388,Muriate Over 45% K2o,5610,Import Quantity,1997,1997,tonnes,9400.000000,*
154,North Macedonia,1388,Muriate Over 45% K2o,5610,Import Quantity,1998,1998,tonnes,3000.000000,*
154,North Macedonia,1388,Muriate Over 45% K2o,5610,Import Quantity,1999,1999,tonnes,7000.000000,*
154,North Macedonia,1388,Muriate Over 45% K2o,5610,Import Quantity,2000,2000,tonnes,7000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5510,Production,1993,1993,tonnes,7600.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5510,Production,1994,1994,tonnes,8106.000000,
154,North Macedonia,1381,Oth Complex Fert (P2o5),5510,Production,1995,1995,tonnes,6331.000000,
154,North Macedonia,1381,Oth Complex Fert (P2o5),5510,Production,1996,1996,tonnes,8000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5510,Production,1997,1997,tonnes,7000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5510,Production,1998,1998,tonnes,7000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5510,Production,1999,1999,tonnes,7500.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5510,Production,2000,2000,tonnes,7000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5610,Import Quantity,1995,1995,tonnes,300.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5610,Import Quantity,1996,1996,tonnes,1000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5610,Import Quantity,1997,1997,tonnes,2400.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5610,Import Quantity,1998,1998,tonnes,2500.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5610,Import Quantity,1999,1999,tonnes,3000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5610,Import Quantity,2000,2000,tonnes,4000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5610,Import Quantity,2001,2001,tonnes,5000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5910,Export Quantity,1995,1995,tonnes,700.000000,
154,North Macedonia,1381,Oth Complex Fert (P2o5),5910,Export Quantity,1996,1996,tonnes,1000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5910,Export Quantity,1997,1997,tonnes,200.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5910,Export Quantity,1998,1998,tonnes,300.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5910,Export Quantity,1999,1999,tonnes,300.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5910,Export Quantity,2000,2000,tonnes,300.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5910,Export Quantity,2001,2001,tonnes,300.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5157,Agricultural Use,1993,1993,tonnes,7600.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5157,Agricultural Use,1994,1994,tonnes,8761.000000,
154,North Macedonia,1381,Oth Complex Fert (P2o5),5157,Agricultural Use,1995,1995,tonnes,6008.000000,
154,North Macedonia,1381,Oth Complex Fert (P2o5),5157,Agricultural Use,1996,1996,tonnes,7000.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5157,Agricultural Use,1997,1997,tonnes,9200.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5157,Agricultural Use,1998,1998,tonnes,9200.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5157,Agricultural Use,1999,1999,tonnes,10200.000000,*
154,North Macedonia,1381,Oth Complex Fert (P2o5),5157,Agricultural Use,2000,2000,tonnes,10700.000000,*
