Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,6600,Country area,5110,Area,1992,1992,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,1993,1993,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,1994,1994,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,1995,1995,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,1996,1996,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,1997,1997,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,1998,1998,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,1999,1999,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2000,2000,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2001,2001,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2002,2002,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2003,2003,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2004,2004,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2005,2005,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2006,2006,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2007,2007,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2008,2008,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2009,2009,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2010,2010,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2011,2011,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2012,2012,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2013,2013,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2014,2014,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2015,2015,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2016,2016,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2017,2017,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2018,2018,1000 ha,2571.000000,A
154,'807,North Macedonia,6600,Country area,5110,Area,2019,2019,1000 ha,2571.000000,I
154,'807,North Macedonia,6600,Country area,5110,Area,2020,2020,1000 ha,2571.000000,I
154,'807,North Macedonia,6601,Land area,5110,Area,1992,1992,1000 ha,2543.000000,A
154,'807,North Macedonia,6601,Land area,5110,Area,1993,1993,1000 ha,2543.000000,A
154,'807,North Macedonia,6601,Land area,5110,Area,1994,1994,1000 ha,2543.000000,A
154,'807,North Macedonia,6601,Land area,5110,Area,1995,1995,1000 ha,2543.000000,A
154,'807,North Macedonia,6601,Land area,5110,Area,1996,1996,1000 ha,2543.000000,A
154,'807,North Macedonia,6601,Land area,5110,Area,1997,1997,1000 ha,2543.000000,A
154,'807,North Macedonia,6601,Land area,5110,Area,1998,1998,1000 ha,2543.000000,A
154,'807,North Macedonia,6601,Land area,5110,Area,1999,1999,1000 ha,2543.000000,A
154,'807,North Macedonia,6601,Land area,5110,Area,2000,2000,1000 ha,2543.000000,A
