Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,1994,1994,tonnes,806.841000,B
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,1995,1995,tonnes,780.778000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,1996,1996,tonnes,1153.433000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,1997,1997,tonnes,1050.754000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,1998,1998,tonnes,933.910000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,1999,1999,tonnes,1055.446000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2000,2000,tonnes,1155.550000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2001,2001,tonnes,947.796000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2002,2002,tonnes,1018.983000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2003,2003,tonnes,1102.213000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2004,2004,tonnes,1404.140000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2005,2005,tonnes,1353.742000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2006,2006,tonnes,1490.420000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2007,2007,tonnes,1824.829000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2008,2008,tonnes,1957.247000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2009,2009,tonnes,1323.319000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2010,2010,tonnes,1441.888000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2011,2011,tonnes,1773.285000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2012,2012,tonnes,1859.758000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2013,2013,tonnes,1878.692000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2014,2014,tonnes,2034.994000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2015,2015,tonnes,2073.737000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2016,2016,tonnes,2212.882000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2017,2017,tonnes,2173.383000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2018,2018,tonnes,1916.026000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2019,2019,tonnes,2000.991000,A
154,'807,North Macedonia,1357,Pesticides (total),5610,Import Quantity,2020,2020,tonnes,2446.307000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,1994,1994,1000 US$,7810.104000,B
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,1995,1995,1000 US$,5493.320000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,1996,1996,1000 US$,7151.791000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,1997,1997,1000 US$,6613.825000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,1998,1998,1000 US$,5707.558000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,1999,1999,1000 US$,6357.166000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2000,2000,1000 US$,6189.891000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2001,2001,1000 US$,5071.213000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2002,2002,1000 US$,5373.921000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2003,2003,1000 US$,6064.765000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2004,2004,1000 US$,8295.130000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2005,2005,1000 US$,8926.447000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2006,2006,1000 US$,8984.829000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2007,2007,1000 US$,12072.496000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2008,2008,1000 US$,16683.366000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2009,2009,1000 US$,12108.542000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2010,2010,1000 US$,12066.003000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2011,2011,1000 US$,16868.047000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2012,2012,1000 US$,15921.169000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2013,2013,1000 US$,17507.030000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2014,2014,1000 US$,20373.827000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2015,2015,1000 US$,18244.388000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2016,2016,1000 US$,19076.869000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2017,2017,1000 US$,18003.094000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2018,2018,1000 US$,15118.608000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2019,2019,1000 US$,16256.663000,A
154,'807,North Macedonia,1357,Pesticides (total),5622,Import Value,2020,2020,1000 US$,19837.819000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,1994,1994,tonnes,0.088000,B
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,1995,1995,tonnes,13.536000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,1996,1996,tonnes,15.822000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,1997,1997,tonnes,6.971000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,1998,1998,tonnes,21.617000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,1999,1999,tonnes,5.681000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2000,2000,tonnes,83.888000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2001,2001,tonnes,51.351000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2002,2002,tonnes,52.082000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2003,2003,tonnes,66.231000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2004,2004,tonnes,47.995000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2005,2005,tonnes,58.399000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2006,2006,tonnes,199.268000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2007,2007,tonnes,78.857000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2008,2008,tonnes,60.640000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2009,2009,tonnes,28.529000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2010,2010,tonnes,55.968000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2011,2011,tonnes,21.007000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2012,2012,tonnes,18.215000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2013,2013,tonnes,10.964000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2014,2014,tonnes,43.543000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2015,2015,tonnes,20.014000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2016,2016,tonnes,35.576000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2017,2017,tonnes,26.878000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2018,2018,tonnes,53.513000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2019,2019,tonnes,31.766000,A
154,'807,North Macedonia,1357,Pesticides (total),5910,Export Quantity,2020,2020,tonnes,51.901000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,1994,1994,1000 US$,1.005000,B
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,1995,1995,1000 US$,258.688000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,1996,1996,1000 US$,250.915000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,1997,1997,1000 US$,53.925000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,1998,1998,1000 US$,125.406000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,1999,1999,1000 US$,57.916000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2000,2000,1000 US$,407.455000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2001,2001,1000 US$,156.085000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2002,2002,1000 US$,244.304000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2003,2003,1000 US$,301.021000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2004,2004,1000 US$,265.638000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2005,2005,1000 US$,331.255000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2006,2006,1000 US$,367.241000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2007,2007,1000 US$,345.995000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2008,2008,1000 US$,380.506000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2009,2009,1000 US$,233.473000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2010,2010,1000 US$,632.829000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2011,2011,1000 US$,290.508000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2012,2012,1000 US$,267.672000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2013,2013,1000 US$,167.724000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2014,2014,1000 US$,735.716000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2015,2015,1000 US$,336.486000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2016,2016,1000 US$,403.977000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2017,2017,1000 US$,247.387000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2018,2018,1000 US$,497.851000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2019,2019,1000 US$,159.387000,A
154,'807,North Macedonia,1357,Pesticides (total),5922,Export Value,2020,2020,1000 US$,426.619000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,1994,1994,tonnes,276.000000,B
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,1995,1995,tonnes,224.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,1996,1996,tonnes,220.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,1997,1997,tonnes,260.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,1998,1998,tonnes,264.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,1999,1999,tonnes,253.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,2000,2000,tonnes,353.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,2001,2001,tonnes,251.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,2002,2002,tonnes,372.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,2003,2003,tonnes,329.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,2004,2004,tonnes,342.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,2005,2005,tonnes,310.000000,A
154,'807,North Macedonia,1416,Insecticides,5610,Import Quantity,2006,2006,tonnes,407.000000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,1994,1994,1000 US$,2398.536000,B
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,1995,1995,1000 US$,1595.814000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,1996,1996,1000 US$,1561.042000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,1997,1997,1000 US$,1765.865000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,1998,1998,1000 US$,1559.183000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,1999,1999,1000 US$,1594.626000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,2000,2000,1000 US$,1656.174000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,2001,2001,1000 US$,1432.509000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,2002,2002,1000 US$,2026.174000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,2003,2003,1000 US$,1926.891000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,2004,2004,1000 US$,2294.078000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,2005,2005,1000 US$,2182.095000,A
154,'807,North Macedonia,1416,Insecticides,5622,Import Value,2006,2006,1000 US$,2400.925000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,1994,1994,tonnes,0.000000,B
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,1995,1995,tonnes,2.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,1996,1996,tonnes,5.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,1997,1997,tonnes,3.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,1998,1998,tonnes,1.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,1999,1999,tonnes,1.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,2000,2000,tonnes,13.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,2001,2001,tonnes,24.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,2002,2002,tonnes,5.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,2003,2003,tonnes,49.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,2004,2004,tonnes,30.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,2005,2005,tonnes,4.000000,A
154,'807,North Macedonia,1416,Insecticides,5910,Export Quantity,2006,2006,tonnes,159.000000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,1994,1994,1000 US$,1.005000,B
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,1995,1995,1000 US$,20.708000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,1996,1996,1000 US$,66.907000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,1997,1997,1000 US$,32.141000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,1998,1998,1000 US$,19.454000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,1999,1999,1000 US$,4.921000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,2000,2000,1000 US$,86.374000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,2001,2001,1000 US$,41.146000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,2002,2002,1000 US$,37.572000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,2003,2003,1000 US$,242.657000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,2004,2004,1000 US$,145.787000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,2005,2005,1000 US$,29.019000,A
154,'807,North Macedonia,1416,Insecticides,5922,Export Value,2006,2006,1000 US$,142.191000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,1994,1994,tonnes,250.000000,B
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,1995,1995,tonnes,357.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,1996,1996,tonnes,651.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,1997,1997,tonnes,541.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,1998,1998,tonnes,500.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,1999,1999,tonnes,569.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,2000,2000,tonnes,538.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,2001,2001,tonnes,509.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,2002,2002,tonnes,456.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,2003,2003,tonnes,533.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,2004,2004,tonnes,666.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,2005,2005,tonnes,711.000000,A
154,'807,North Macedonia,1417,Fungicides,5610,Import Quantity,2006,2006,tonnes,729.000000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,1994,1994,1000 US$,1785.404000,B
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,1995,1995,1000 US$,2323.949000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,1996,1996,1000 US$,3320.267000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,1997,1997,1000 US$,2870.993000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,1998,1998,1000 US$,2520.886000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,1999,1999,1000 US$,2952.700000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,2000,2000,1000 US$,2786.852000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,2001,2001,1000 US$,2426.971000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,2002,2002,1000 US$,2168.875000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,2003,2003,1000 US$,2738.980000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,2004,2004,1000 US$,3844.071000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,2005,2005,1000 US$,4334.483000,A
154,'807,North Macedonia,1417,Fungicides,5622,Import Value,2006,2006,1000 US$,4470.466000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,1995,1995,tonnes,6.000000,B
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,1996,1996,tonnes,9.000000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,1997,1997,tonnes,2.000000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,1998,1998,tonnes,15.000000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,1999,1999,tonnes,4.000000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,2000,2000,tonnes,45.000000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,2001,2001,tonnes,7.000000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,2002,2002,tonnes,28.000000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,2003,2003,tonnes,15.000000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,2004,2004,tonnes,18.000000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,2005,2005,tonnes,46.000000,A
154,'807,North Macedonia,1417,Fungicides,5910,Export Quantity,2006,2006,tonnes,27.000000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,1995,1995,1000 US$,129.466000,B
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,1996,1996,1000 US$,148.873000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,1997,1997,1000 US$,12.053000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,1998,1998,1000 US$,84.407000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,1999,1999,1000 US$,52.676000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,2000,2000,1000 US$,167.332000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,2001,2001,1000 US$,28.208000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,2002,2002,1000 US$,114.586000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,2003,2003,1000 US$,50.417000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,2004,2004,1000 US$,113.104000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,2005,2005,1000 US$,242.194000,A
154,'807,North Macedonia,1417,Fungicides,5922,Export Value,2006,2006,1000 US$,159.400000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,1994,1994,tonnes,239.000000,B
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,1995,1995,tonnes,131.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,1996,1996,tonnes,227.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,1997,1997,tonnes,226.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,1998,1998,tonnes,146.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,1999,1999,tonnes,181.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,2000,2000,tonnes,220.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,2001,2001,tonnes,121.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,2002,2002,tonnes,128.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,2003,2003,tonnes,190.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,2004,2004,tonnes,237.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,2005,2005,tonnes,235.000000,A
154,'807,North Macedonia,1418,Herbicides,5610,Import Quantity,2006,2006,tonnes,238.000000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,1994,1994,1000 US$,3415.771000,B
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,1995,1995,1000 US$,1206.212000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,1996,1996,1000 US$,1909.929000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,1997,1997,1000 US$,1763.110000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,1998,1998,1000 US$,1437.228000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,1999,1999,1000 US$,1559.299000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,2000,2000,1000 US$,1492.367000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,2001,2001,1000 US$,913.801000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,2002,2002,1000 US$,859.130000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,2003,2003,1000 US$,1126.038000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,2004,2004,1000 US$,1593.043000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,2005,2005,1000 US$,1815.161000,A
154,'807,North Macedonia,1418,Herbicides,5622,Import Value,2006,2006,1000 US$,1650.531000,A
