Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2001,2001,millions,361.493772,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2002,2002,millions,408.688192,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2003,2003,millions,570.723695,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2004,2004,millions,656.588621,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2005,2005,millions,609.349748,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2006,2006,millions,616.780950,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2007,2007,millions,744.648704,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2008,2008,millions,1134.001125,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2009,2009,millions,974.975950,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2010,2010,millions,952.084051,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2011,2011,millions,981.329197,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2012,2012,millions,887.292209,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2013,2013,millions,1084.742524,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2014,2014,millions,1156.423729,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2015,2015,millions,978.975810,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2016,2016,millions,978.948705,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2017,2017,millions,890.214799,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2018,2018,millions,1074.306401,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2019,2019,millions,1009.637594,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2020,2020,millions,1115.186125,X,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6110,Value US$,2021,2021,millions,1232.730917,F,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6139,Share of Total US$,2001,2001,%,9.744695,E,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6139,Share of Total US$,2002,2002,%,10.170548,E,
154,'807,North Macedonia,22016,"Value Added (Agriculture, Forestry and Fishing)",6139,Share of Total US$,2003,2003,%,11.538422,E,
