Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,1998,1998,millions,0.056000,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2001,2001,millions,2.310000,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2002,2002,millions,0.424000,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2003,2003,millions,1.793385,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2004,2004,millions,10.408945,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2005,2005,millions,-1.044620,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2006,2006,millions,-0.052688,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2007,2007,millions,14.313518,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2008,2008,millions,5.949830,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2009,2009,millions,0.104189,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2010,2010,millions,1.295287,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2011,2011,millions,3.676905,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2012,2012,millions,3.749226,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2013,2013,millions,10.996746,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2014,2014,millions,14.177726,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2015,2015,millions,3.052258,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2016,2016,millions,1.777689,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2017,2017,millions,-3.307690,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2018,2018,millions,5.550504,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2019,2019,millions,35.588105,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2020,2020,millions,23.723424,X,Data source: UNCTAD
154,'807,North Macedonia,23080,"FDI inflows to Agriculture, Forestry and Fishing",6110,Value US$,2021,2021,millions,48.161193,X,Data source: UNCTAD
