Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,1992,1992,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,1993,1993,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,1994,1994,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,1995,1995,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,1996,1996,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,1997,1997,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,1998,1998,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,1999,1999,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,2000,2000,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,2001,2001,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,2002,2002,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,2003,2003,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,2004,2004,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5116,In Use,2005,2005,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,1992,1992,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,1993,1993,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,1994,1994,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,1995,1995,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,1996,1996,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,1997,1997,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,1998,1998,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,1999,1999,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,2000,2000,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,2001,2001,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,2002,2002,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,2003,2003,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,2004,2004,No,0.000000,NR
154,North Macedonia,1300,Agr Machinery nes,5607,Import Quantity,2005,2005,No,0.000000,NR
