Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,1990,1990,millions,508.171421,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,1991,1991,millions,1066.231898,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,1992,1992,millions,13942.538780,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,1993,1993,millions,68929.838300,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,1994,1994,millions,154000.137700,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,1995,1995,millions,178310.557700,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,1996,1996,millions,185592.209900,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,1997,1997,millions,195663.643000,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,1998,1998,millions,205088.248800,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,1999,1999,millions,219846.381500,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2000,2000,millions,248646.160700,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2001,2001,millions,252393.746200,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2002,2002,millions,258579.978300,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2003,2003,millions,268693.593100,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2004,2004,millions,280786.092600,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2005,2005,millions,308447.438300,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2006,2006,millions,334839.692100,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2007,2007,millions,372889.429000,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2008,2008,millions,414889.737800,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2009,2009,millions,414621.727800,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2010,2010,millions,437295.522200,X,
154,'807,North Macedonia,22008,Gross Domestic Product,6109,Value Local Currency,2011,2011,millions,464186.134200,X,
