Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1992,1992,1000 persons,2018.023000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1993,1993,1000 persons,1996.893000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1994,1994,1000 persons,1982.458000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1995,1995,1000 persons,1983.964000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1996,1996,1000 persons,1994.226000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1997,1997,1000 persons,2004.234000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1998,1998,1000 persons,2012.844000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1999,1999,1000 persons,2023.778000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2000,2000,1000 persons,2037.936000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2001,2001,1000 persons,2053.384000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2002,2002,1000 persons,2064.737000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2003,2003,1000 persons,2071.142000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2004,2004,1000 persons,2075.874000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2005,2005,1000 persons,2078.662000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2006,2006,1000 persons,2081.075000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2007,2007,1000 persons,2083.488000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2008,2008,1000 persons,2086.227000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2009,2009,1000 persons,2089.787000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2010,2010,1000 persons,2093.828000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2011,2011,1000 persons,2097.099000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2012,2012,1000 persons,2099.478000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2013,2013,1000 persons,2102.215000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2014,2014,1000 persons,2105.291000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2015,2015,1000 persons,2107.962000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2016,2016,1000 persons,2110.196000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2017,2017,1000 persons,2111.979000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2018,2018,1000 persons,2113.491000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2019,2019,1000 persons,2114.176000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2020,2020,1000 persons,2111.072000,X,
