Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,13447.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,65600.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,73500.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,84500.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,64500.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,161500.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,31830.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,74000.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,101130.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,371017.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5531,Producer Price (SLC/tonne),1992,1992,7021,Annual value,SLC,13447.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5531,Producer Price (SLC/tonne),1993,1993,7021,Annual value,SLC,65600.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5531,Producer Price (SLC/tonne),1994,1994,7021,Annual value,SLC,73500.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5531,Producer Price (SLC/tonne),1995,1995,7021,Annual value,SLC,84500.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5531,Producer Price (SLC/tonne),1996,1996,7021,Annual value,SLC,64500.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5531,Producer Price (SLC/tonne),1997,1997,7021,Annual value,SLC,161500.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5531,Producer Price (SLC/tonne),1998,1998,7021,Annual value,SLC,31830.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5531,Producer Price (SLC/tonne),1999,1999,7021,Annual value,SLC,74000.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5531,Producer Price (SLC/tonne),2008,2008,7021,Annual value,SLC,101130.000000,A
