Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,1992,1992,ha,607.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,1993,1993,ha,514.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,1994,1994,ha,484.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,1995,1995,ha,430.000000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,1996,1996,ha,400.000000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,1997,1997,ha,371.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,1998,1998,ha,348.000000,A
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,1999,1999,ha,447.000000,I
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,2000,2000,ha,450.000000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,2001,2001,ha,220.000000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,2002,2002,ha,120.000000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,2003,2003,ha,800.000000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,2004,2004,ha,731.000000,I
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,2005,2005,ha,400.000000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,2006,2006,ha,500.000000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,2007,2007,ha,933.000000,I
154,'807,North Macedonia,221,'01371,"Almonds, in shell",5312,Area harvested,2008,2008,ha,401.000000,I
