Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),1992,1992,index,91.370000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),1993,1993,index,92.950000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),1994,1994,index,98.670000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),1995,1995,index,54.910000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),1996,1996,index,121.540000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),1997,1997,index,129.120000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),1998,1998,index,65.780000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),1999,1999,index,102.320000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2000,2000,index,114.680000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2001,2001,index,57.200000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2002,2002,index,29.740000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2003,2003,index,211.340000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2004,2004,index,168.020000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2005,2005,index,73.070000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2006,2006,index,97.950000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2007,2007,index,196.760000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2008,2008,index,88.940000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2009,2009,index,117.110000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2010,2010,index,143.850000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2011,2011,index,128.550000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2012,2012,index,122.550000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2013,2013,index,108.100000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2014,2014,index,74.360000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2015,2015,index,129.550000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2016,2016,index,96.090000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2017,2017,index,76.220000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2018,2018,index,82.080000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2019,2019,index,81.220000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2020,2020,index,114.540000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",432,Gross Production Index Number (2014-2016 = 100),2021,2021,index,90.510000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),1992,1992,index,95.450000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),1993,1993,index,98.120000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),1994,1994,index,104.910000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),1995,1995,index,58.340000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),1996,1996,index,128.480000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),1997,1997,index,135.810000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),1998,1998,index,68.890000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),1999,1999,index,106.580000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),2000,2000,index,118.620000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),2001,2001,index,58.720000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),2002,2002,index,30.370000,E
154,'807,North Macedonia,221,'01371,"Almonds, in shell",434,Gross per capita Production Index Number (2014-2016 = 100),2003,2003,index,215.110000,E
